DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20050701,01/07/2005,6,Friday,Viernes,Vendredi,1,182,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050702,02/07/2005,7,Saturday,Sábado,Samedi,2,183,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050703,03/07/2005,1,Sunday,Domingo,Dimanche,3,184,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050704,04/07/2005,2,Monday,Lunes,Lundi,4,185,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050705,05/07/2005,3,Tuesday,Martes,Mardi,5,186,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050706,06/07/2005,4,Wednesday,Miércoles,Mercredi,6,187,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050707,07/07/2005,5,Thursday,Jueves,Jeudi,7,188,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050708,08/07/2005,6,Friday,Viernes,Vendredi,8,189,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050709,09/07/2005,7,Saturday,Sábado,Samedi,9,190,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050710,10/07/2005,1,Sunday,Domingo,Dimanche,10,191,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050711,11/07/2005,2,Monday,Lunes,Lundi,11,192,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050712,12/07/2005,3,Tuesday,Martes,Mardi,12,193,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050713,13/07/2005,4,Wednesday,Miércoles,Mercredi,13,194,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050714,14/07/2005,5,Thursday,Jueves,Jeudi,14,195,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050715,15/07/2005,6,Friday,Viernes,Vendredi,15,196,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050716,16/07/2005,7,Saturday,Sábado,Samedi,16,197,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050717,17/07/2005,1,Sunday,Domingo,Dimanche,17,198,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050718,18/07/2005,2,Monday,Lunes,Lundi,18,199,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050719,19/07/2005,3,Tuesday,Martes,Mardi,19,200,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050720,20/07/2005,4,Wednesday,Miércoles,Mercredi,20,201,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050721,21/07/2005,5,Thursday,Jueves,Jeudi,21,202,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050722,22/07/2005,6,Friday,Viernes,Vendredi,22,203,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050723,23/07/2005,7,Saturday,Sábado,Samedi,23,204,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050724,24/07/2005,1,Sunday,Domingo,Dimanche,24,205,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050725,25/07/2005,2,Monday,Lunes,Lundi,25,206,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050726,26/07/2005,3,Tuesday,Martes,Mardi,26,207,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050727,27/07/2005,4,Wednesday,Miércoles,Mercredi,27,208,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050728,28/07/2005,5,Thursday,Jueves,Jeudi,28,209,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050729,29/07/2005,6,Friday,Viernes,Vendredi,29,210,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050730,30/07/2005,7,Saturday,Sábado,Samedi,30,211,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050731,31/07/2005,1,Sunday,Domingo,Dimanche,31,212,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050801,01/08/2005,2,Monday,Lunes,Lundi,1,213,31,August,Agosto,Août,8,3,2005,2,1,2006,1
20050802,02/08/2005,3,Tuesday,Martes,Mardi,2,214,31,August,Agosto,Août,8,3,2005,2,1,2006,1
20050803,03/08/2005,4,Wednesday,Miércoles,Mercredi,3,215,31,August,Agosto,Août,8,3,2005,2,1,2006,1
20050804,04/08/2005,5,Thursday,Jueves,Jeudi,4,216,31,August,Agosto,Août,8,3,2005,2,1,2006,1
20050805,05/08/2005,6,Friday,Viernes,Vendredi,5,217,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050806,06/08/2005,7,Saturday,Sábado,Samedi,6,218,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050807,07/08/2005,1,Sunday,Domingo,Dimanche,7,219,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050808,08/08/2005,2,Monday,Lunes,Lundi,8,220,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050809,09/08/2005,3,Tuesday,Martes,Mardi,9,221,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050810,10/08/2005,4,Wednesday,Miércoles,Mercredi,10,222,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050811,11/08/2005,5,Thursday,Jueves,Jeudi,11,223,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050812,12/08/2005,6,Friday,Viernes,Vendredi,12,224,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050813,13/08/2005,7,Saturday,Sábado,Samedi,13,225,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050814,14/08/2005,1,Sunday,Domingo,Dimanche,14,226,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050815,15/08/2005,2,Monday,Lunes,Lundi,15,227,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050816,16/08/2005,3,Tuesday,Martes,Mardi,16,228,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050817,17/08/2005,4,Wednesday,Miércoles,Mercredi,17,229,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050818,18/08/2005,5,Thursday,Jueves,Jeudi,18,230,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050819,19/08/2005,6,Friday,Viernes,Vendredi,19,231,34,August,Agosto,Août,8,3,2005,2,1,2006,1
20050820,20/08/2005,7,Saturday,Sábado,Samedi,20,232,34,August,Agosto,Août,8,3,2005,2,1,2006,1
20050821,21/08/2005,1,Sunday,Domingo,Dimanche,21,233,34,August,Agosto,Août,8,3,2005,2,1,2006,1
20050822,22/08/2005,2,Monday,Lunes,Lundi,22,234,34,August,Agosto,Août,8,3,2005,2,1,2006,1
20050823,23/08/2005,3,Tuesday,Martes,Mardi,23,235,34,August,Agosto,Août,8,3,2005,2,1,2006,1
20050824,24/08/2005,4,Wednesday,Miércoles,Mercredi,24,236,34,August,Agosto,Août,8,3,2005,2,1,2006,1
20050825,25/08/2005,5,Thursday,Jueves,Jeudi,25,237,34,August,Agosto,Août,8,3,2005,2,1,2006,1
20050826,26/08/2005,6,Friday,Viernes,Vendredi,26,238,35,August,Agosto,Août,8,3,2005,2,1,2006,1
20050827,27/08/2005,7,Saturday,Sábado,Samedi,27,239,35,August,Agosto,Août,8,3,2005,2,1,2006,1
20050828,28/08/2005,1,Sunday,Domingo,Dimanche,28,240,35,August,Agosto,Août,8,3,2005,2,1,2006,1
20050829,29/08/2005,2,Monday,Lunes,Lundi,29,241,35,August,Agosto,Août,8,3,2005,2,1,2006,1
20050830,30/08/2005,3,Tuesday,Martes,Mardi,30,242,35,August,Agosto,Août,8,3,2005,2,1,2006,1
20050831,31/08/2005,4,Wednesday,Miércoles,Mercredi,31,243,35,August,Agosto,Août,8,3,2005,2,1,2006,1
20050901,01/09/2005,5,Thursday,Jueves,Jeudi,1,244,35,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050902,02/09/2005,6,Friday,Viernes,Vendredi,2,245,36,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050903,03/09/2005,7,Saturday,Sábado,Samedi,3,246,36,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050904,04/09/2005,1,Sunday,Domingo,Dimanche,4,247,36,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050905,05/09/2005,2,Monday,Lunes,Lundi,5,248,36,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050906,06/09/2005,3,Tuesday,Martes,Mardi,6,249,36,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050907,07/09/2005,4,Wednesday,Miércoles,Mercredi,7,250,36,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050908,08/09/2005,5,Thursday,Jueves,Jeudi,8,251,36,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050909,09/09/2005,6,Friday,Viernes,Vendredi,9,252,37,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050910,10/09/2005,7,Saturday,Sábado,Samedi,10,253,37,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050911,11/09/2005,1,Sunday,Domingo,Dimanche,11,254,37,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050912,12/09/2005,2,Monday,Lunes,Lundi,12,255,37,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050913,13/09/2005,3,Tuesday,Martes,Mardi,13,256,37,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050914,14/09/2005,4,Wednesday,Miércoles,Mercredi,14,257,37,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
