,ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,LargePhoto,EnglishDescription,FrenchDescription,ChineseDescription,ArabicDescription,HebrewDescription,ThaiDescription,GermanDescription,JapaneseDescription,TurkishDescription,StartDate,EndDate,Status
0,1.0,AR-5381,,,,Adjustable Race,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
1,2.0,BA-8327,,,,Bearing Ball,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
2,3.0,BE-2349,,,,BB Ball Bearing,,,,0.0,NA,800.0,600.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
3,4.0,BE-2908,,,,Headset Ball Bearings,,,,0.0,NA,800.0,600.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
4,5.0,BL-2036,,,,Blade,,,,0.0,NA,800.0,600.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
5,6.0,CA-5965,,,,LL Crankarm,,,,0.0,Black,500.0,375.0,,,NA,,0.0,,,L,,,,,,,,,,,,,1212278400.0,,Current
6,7.0,CA-6738,,,,ML Crankarm,,,,0.0,Black,500.0,375.0,,,NA,,0.0,,,M,,,,,,,,,,,,,1212278400.0,,Current
7,8.0,CA-7457,,,,HL Crankarm,,,,0.0,Black,500.0,375.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
8,9.0,CB-2903,,,,Chainring Bolts,,,,0.0,Silver,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
9,10.0,CN-6137,,,,Chainring Nut,,,,0.0,Silver,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
10,11.0,CR-7833,,,,Chainring,,,,0.0,Black,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
11,12.0,CR-9981,,,,Crown Race,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
12,13.0,CS-2812,,,,Chain Stays,,,,0.0,NA,1000.0,750.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
13,14.0,DC-8732,,,,Decal 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
14,15.0,DC-9824,,,,Decal 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
15,16.0,DT-2377,,,,Down Tube,,,,0.0,NA,800.0,600.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
16,17.0,EC-M092,,,,Mountain End Caps,,,,0.0,NA,1000.0,750.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
17,18.0,EC-R098,,,,Road End Caps,,,,0.0,NA,1000.0,750.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
18,19.0,EC-T209,,,,Touring End Caps,,,,0.0,NA,1000.0,750.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
19,20.0,FE-3760,,,,Fork End,,,,0.0,NA,800.0,600.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
20,21.0,FH-2981,,,,Freewheel,,,,0.0,Silver,500.0,375.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
21,22.0,FW-1000,,,,Flat Washer 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
22,23.0,FW-1200,,,,Flat Washer 6,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
23,24.0,FW-1400,,,,Flat Washer 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
24,25.0,FW-3400,,,,Flat Washer 9,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
25,26.0,FW-3800,,,,Flat Washer 4,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
26,27.0,FW-5160,,,,Flat Washer 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
27,28.0,FW-5800,,,,Flat Washer 8,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
28,29.0,FW-7160,,,,Flat Washer 5,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
29,30.0,FW-9160,,,,Flat Washer 7,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
