year,global_avg_temp,local_avg_temp
1841,7.69,14.87
1842,8.02,15.43
1843,8.17,15.53
1844,7.65,15.33
1845,7.85,15.43
1846,8.55,15.85
1847,8.09,15.78
1848,7.98,15.02
1849,7.98,15.44
1850,7.9,15.6
1851,8.18,15.22
1852,8.1,15.44
1853,8.04,15.79
1854,8.21,15.99
1855,8.11,15.84
1856,8,15.55
1857,7.76,15.93
1858,8.1,15.49
1859,8.25,15.64
1860,7.96,15.05
1861,7.85,15.29
1862,7.56,14.47
1863,8.11,15.2
1864,7.98,14.85
1865,8.18,15.72
1866,8.29,15.54
1867,8.44,15.95
1868,8.25,15.86
1869,8.43,16.09
1870,8.2,15.95
1871,8.12,16.31
1872,8.19,16.12
1873,8.35,15.74
1874,8.43,15.68
1875,7.86,15.47
1876,8.08,15.6
1877,8.54,15.43
1878,8.83,15.46
1879,8.17,16.13
1880,8.12,15.28
1881,8.27,15.63
1882,8.13,15.54
1883,7.98,15.41
1884,7.77,14.92
1885,7.92,14.91
1886,7.95,15.06
1887,7.91,15.65
1888,8.09,15.87
1889,8.32,15.3
1890,7.97,16.22
1891,8.02,15.72
1892,8.07,15.43
1893,8.06,15.13
1894,8.16,16.23
1895,8.15,15.27
1896,8.21,15.73
1897,8.29,15.6
1898,8.18,16.33
1899,8.4,15.84
1900,8.5,15.8
1901,8.54,15.26
1902,8.3,16.27
1903,8.22,15.56
1904,8.09,15.64
1905,8.23,15.5
1906,8.38,15.5
1907,7.95,15.57
1908,8.19,15.67
1909,8.18,15.84
1910,8.22,15.26
1911,8.18,15.48
1912,8.17,15.61
1913,8.3,15.36
1914,8.59,16.52
1915,8.59,16.11
1916,8.23,15.75
1917,8.02,15.09
1918,8.13,15.55
1919,8.38,15.93
1920,8.36,16.02
1921,8.57,15.58
1922,8.41,16.11
1923,8.42,15.77
1924,8.51,15.72
1925,8.53,15.65
1926,8.73,16.04
1927,8.52,16.13
1928,8.63,16.03
1929,8.24,15.96
1930,8.63,16.06
1931,8.72,15.64
1932,8.71,16.04
1933,8.34,15.91
1934,8.63,15.85
1935,8.52,16.33
1936,8.55,15.28
1937,8.7,16.09
1938,8.86,16.32
1939,8.76,16.13
1940,8.76,16.25
1941,8.77,16.39
1942,8.73,16.21
1943,8.76,16.01
1944,8.85,16.14
1945,8.58,15.91
1946,8.68,16.7
1947,8.8,15.87
1948,8.75,16.49
1949,8.59,16.56
1950,8.37,16.4
1951,8.63,16.18
1952,8.64,16.1
1953,8.87,17.03
1954,8.56,15.85
1955,8.63,16.06
1956,8.28,15.61
1957,8.73,15.6
1958,8.77,16.07
1959,8.73,16.54
1960,8.58,16.6
1961,8.8,17.02
1962,8.75,16.11
1963,8.86,16.2
1964,8.41,16.58
1965,8.53,16.06
1966,8.6,16.5
1967,8.7,16.05
1968,8.52,16.13
1969,8.6,15.64
1970,8.7,15.82
1971,8.6,16.22
1972,8.5,15.71
1973,8.95,16.32
1974,8.47,15.93
1975,8.74,16.48
1976,8.35,15.71
1977,8.85,16.17
1978,8.69,16.67
1979,8.73,16.54
1980,8.98,15.57
1981,9.17,15.91
1982,8.64,16.2
1983,9.03,16.22
1984,8.69,15.8
1985,8.66,16.04
1986,8.83,15.94
1987,8.99,16.19
1988,9.2,16.17
1989,8.92,16.24
1990,9.23,17.26
1991,9.18,16.14
1992,8.84,16.14
1993,8.87,15.98
1994,9.04,17.34
1995,9.35,16.36
1996,9.04,16.21
1997,9.2,16.76
1998,9.52,17.56
1999,9.29,16.68
2000,9.2,16.9
2001,9.41,16.93
2002,9.57,17.22
2003,9.53,16.74
2004,9.32,17.24
2005,9.7,16.75
2006,9.53,17.41
2007,9.73,17.63
2008,9.43,16.72
2009,9.51,17.01
2010,9.7,16.75
2011,9.52,16.52
2012,9.51,16.47
2013,9.61,17.86
